V1,V2
1,组混凝土抗渗试验情况下直接编写该组混凝土抗渗试验试验记录设备记录记录试验时间分别上午时分时分时分时分时分时分试验结束时间分别上午时分时分时分时分时分时分抗渗试验仪设备分别检查尚未出具该组试验检测报告伪造检测数据法定代表人违法事实清楚证据确实充分违法行为予以承认
1,认定天平建筑机械租赁违反建筑起重机械安全监督管理第二十八条第三项违法事实清楚证据确实充分违法事实予以认可
1,住房城乡建设北七家镇楼昌平区北七家镇地块住宅混合公建基础教育邮政设施二类居住绿隔产业用地配建限价商品住房项目工程专项执法检查经本机关立案调查查明违法事实线槽安装全长超过米终点端每隔米保护干线相连接符合配线工程施工验收规范第条第款施工技术标准施工市长建燕城建筑工程无进一步陈述申辩意见违法事实予以承认工程供电干线子分部合同价款为元
1,经济技术开发区地块京东方显示技术建设希达建设监理监理中建大成建筑施工模组生产基地项目二期工程日常检查及经批准立案调查荣达智能建筑工程代理人程博询问调取资料查明工程地下车库部分自动喷水灭火系统安装完毕现场检查消防工程施工单位荣达智能建筑工程不能提供系统试压冲洗试验记录系统试压冲洗喷头安装符合自动喷水灭火系统施工验收规范第条喷头安装应系统试压冲洗合格后工程地下车库部分自动喷水灭火系统安装完毕现场检查消防工程施工单位荣达智能建筑工程不能提供喷头现场检验记录喷头现场检验喷头安装符合自动喷水灭火系统施工验收规范第条喷头现场检验工程消防工程合同投标总价地下车库部分自动喷水灭火系统工程合同价款为元荣达智能建筑工程直接负责主管人员为程博无直接责任人员荣达智能建筑工程施工技术标准施工违法事实清楚证据确实充分违法事实予以认可
1,聘用申请人丁祖海一级建造师初始注册提供虚假注册
1,上述事实表明监理过程合格隐蔽工程合格验收事后施工单位整改监理重新组织验收问题整改质量事故
0,职业卫生技术服务机构超出业务范围区域从事职业卫生检测评价技术服务履行法定职责出具虚假证明文件
0,经营者消费者采用格式条款订立合同经营者免除责任
1,住房城乡建设东坝乡七棵树村座绿色产业用房工程专项执法检查工程监理百事百达工程管理未审核特种作业人员特种作业操作资格证书立案调查现场检查和百事百达工程管理代理人葛文兵询问调取资料查明座绿色产业用房工程东坝乡七棵树村建设世纪文创置业监理百事百达工程管理承包施工单位林州建总建筑工程现场检查时座绿色产业用房工程正在主体结构施工登记为京塔式起重机用于工程主体结构施工现场检查登记为京塔式起重机司机贾令旗无特种作业操作资格证书见登记为京塔式起重机司机贾令旗特种作业操作资格证书审核文件施工起重机械运行记录显示贾令旗塔式起重机司机从事特种作业操作现场调查项目总监理工程师仲秋宏确认未审核特种作业人员特种作业操作资格证书监理百事百达工程管理未审核特种作业人员特种作业操作资格证书违反建筑起重机械安全监督管理中华人民共和国建设部令第号第二十二条第二项监理应当履行下列安全职责审核建筑起重机械安装资质证书安全生产许可证特种作业人员特种作业操作资格证书认定百事百达工程管理未审核特种作业人员特种作业操作资格证书违法事实清楚证据确实充分违法事实予以认可
0,从事生产经营纳税人扣缴义务人中华人民共和国税收征收管理法税收违法行为拒不接受税务机关
0,生产经营易制毒化学品许可证备案证明转借
0,农产品批发市场违法销售农产品农产品销售者
0,食品生产者工艺设备布局工艺流程主要生产设备设施食品类别事项发生变化需要变更食品生产许可证载明许可事项按规定申请变更原发证食品药品监督管理部门责令改正给予警告拒改正食品生产许可证副本载明同一食品类别内事项外设仓库地址发生变化食品生产者按规定报告食品生产者终止食品生产食品生产许可撤回撤销食品生产许可证吊销按规定申请办理注销手续原发证食品药品监督管理部门责令改正拒改正
1,专业分包施工密地密工程施工现场安全隐患工程施工现场数据中心楼设备分包太极计算机股份层开关箱出线线缆地面敷设无保护措施符合建筑工程施工现场安全防护场容卫生消防保卫标准第条严格建筑业安全作业规程标准施工事故隐患
1,世纪亚安机电安装授权委托人刘占才询问调取资料查明商业楼生物医药基地地块住宅混合公建用地中学用地配建公共租赁住房项目住总正华开发建设承包工程通风工程世纪亚安机电安装施工世纪亚安机电安装只具有水暖电安装作业分包分等级资质具有机电安装工程专业承包资质世纪亚安机电安装超越资质等级许可范围承揽商业楼生物医药基地地块住宅混合公建用地中学用地配建公共租赁住房项目工程通风工程施工承包单位住总正华开发建设签订专业分包合同工程合同价款为元
1,星火路座科研中试楼高新技术产业用房昌宁机电科技科研中试楼扩建工程项目工程建设昌宁机电科技监理中科金石工程咨询承包施工单位万平恒通建设幕墙工程分包沈阳黎明门窗幕墙制造安装工程工程建筑面积平方米幕墙工程施工现场检查正在装修工程施工分包合同石材幕墙分项工程合同价款为元幕墙工程分包直接负责主管人员郭明华没有直接责任人员违法事实予以认可沈阳黎明门窗幕墙制造安装工程郭明华积极配合行政机关执法工作问题及时整改质量事故
0,猥亵公共场所故意裸露身体
0,擅自出版法规汇编类出版物
0,强制检定范围计量器具申请检定检定合格继续
0,对系统成员转让厂商识别代码相应条码
1,住房城乡建设汇鑫伟业房地产经纪同城网站房源信息核查汇鑫伟业房地产经纪委托人书面同意擅自对外内容伟业嘉园大学城西配套齐全精装两居随时看房家电齐全租赁房源信息
1,机关书面告知红旗渠建设马丽强享有陈述申辩权利时间内无进一步陈述申辩意见
0,违反规定挪用侵占依法调拨交换出借文物所得补偿费用
0,擅自设立报刊记者站假冒盗用报刊记者站名义开展活动
0,煤炭石油天然气开发安装正常污染源自动监控系统
1,南苑乡槐房新宫村南苑乡槐房村新宫村地块二类居住基础教育社会福利文化设施公交枢纽用地配建公共租赁住房项目商品房工程施工过程基坑深度米桩锚支护部位基坑侧壁安全等级一级基坑锚杆拉力监测符合建筑基坑工程监测技术规范第条施工单位严格建筑业安全作业标准施工事故隐患
1,经查没有真实情况下于安居客网站上虚构对外一条名称通州北关正规三居室南北通透总价低不购环境好出售房源信息限购噱头吸引客户招揽业务构成欺诈正当方式招揽业务
1,住房城乡建设住宅楼东坝南区地块住宅混合公建用地配建限价商品住房项目工程检查承接防水工程北京东方雨虹防水工程项目经理张辉涉嫌注册证书执业印章注册建造师名义从事相关活动住房城乡建设立案开展调查取证张辉受委托人张功询问调取资料查明北京东方雨虹防水工程承揽住宅楼东坝南区地块住宅混合公建用地配建限价商品住房项目防水工程承包单位中建三局签订专业分包合同北京东方雨虹防水工程张辉该项目的项目经理全面负责项目防水施工方面事宜张辉注册证书执业印章已经过期还补办成功目前具有注册证书执业印章据此张辉注册证书执业印章注册建造师名义从事相关活动本案无从轻从重情节
1,承包施工怀柔区杨宋镇北京电影学院怀柔新校区一期工程标段施工现场安全隐患工程区主楼屋面施工升降机南侧临边处设置临边防护栏杆符合建设工程施工现场安全防护场容卫生消防保卫标准第条工程区主楼层移动式操作平台操作层临边处设置防护栏杆符合建筑施工高出作业安全技术规范第条严格建筑业安全作业规程标准施工事故隐患
0,排放畜禽养殖废弃物符合国家地方污染物排放标准总量控制指标无害化直接环境排放畜禽养殖废弃物
1,现场检查时该工程地下车库地下二层轴东南侧基础底板已经浇筑地下车库地下二层轴留置基础底板施工缝地下车库地下二层轴处留置高导墙施工缝该处基础底板导墙地下室外墙该处导墙竖向施工缝范围内未设置橡胶止水带止水钢板符合工程施工图设计文件图纸会审记录第条地下室外墙竖向施工缝应该设置橡胶止水带止水钢板
1,住房城乡建设研发办公楼伟特工业用房附属设施用房项目工程专项执法检查工程水电制作安装分包施工单位中京恒盛建设工程施工中有施工技术标准施工立案调查现场检查和中京恒盛建设工程代理人闫乃常询问调取资料查明工程街区达望华一投资咨询建设建道桥建设承包施工仁泽建设监理监理中京恒盛建设工程水电制作安装分包施工单位现场检查时该工程正在装饰装修机电收尾施工中京恒盛建设工程施工过程问题施工现场通电金属线槽投入使用研发办公楼首层消防中控室生产车间首层新风机房内金属线槽终点端接地终点端之间距离超过米符合配线工程施工验收规范第条第款强制性金属线槽起始端终点端均应可靠接地水电制作安装分包工程合同价款元电气安装工程合同价款为元水电制作安装分包施工单位直接负责主管人员闫乃常没有直接责任人员中京恒盛建设工程施工中有施工技术标准施工违法事实清楚证据确实充分以上事实予以承认中京恒盛建设工程积极整改问题质量事故
1,瀛锦苑项目瀛海镇组团地块海盈房地产开发开发建设瀛锦苑项目商品房预售许可证情况下于周某某等户购房人签订瀛锦苑项目住宅楼住宅楼住宅楼住宅楼住宅楼住宅楼商品房认购书收取每户购房人认购定金元共收取认购定金元款项属预付款进一步调查海盈房地产开发才京房售证字号商品房预售许可证批准预售批准预售住宅楼住宅楼配套公服扣除层管井层管井住宅楼扣除层管井层管井住宅楼扣除住宅楼扣除弱电室住宅楼地下车库扣除层π接室π接室电梯井封闭空间配电间至层封闭空间弱电室设备用房调查过程中未违法所得
0,经营者擅自知名商品特有名称包装装潢知名商品近似名称包装装潢知名商品相混淆使购买者误认为知名商品
1,住房城乡建设昌平区住宅楼昌平区北七家镇未来科技城南区地块公建混合住宅用地配建人才公共租赁住房项目工程检查中铁二十一局第六工程备案项目经理宋普孝涉嫌履行注册建造师义务作出立案审批
0,生产许可证企业生产检验手段生产技术工艺发生变化办理重新审查手续限期办理相关手续逾期仍未办理
1,住房城乡建设施工昌平区北清路中关村生命医疗园国家人类遗传资源中心科研楼国家人类遗传资源中心工程幕墙工程专项执法检查经本机关立案调查查明违法事实工程设计说明二建第十章第七节第条外墙保温材料采用厚钢网岩棉板现场首层外墙保温厚岩棉板符合施工图设计文件施工单位施工图设计文件施工
0,直销企业违反保证金
1,认定天幕总公司违反建设工程质量第十一条违法事实清楚证据确实充分书面事先陈述申辩权利告知违法事实予以认可逾期提出陈述申辩无进一步陈述申辩意见书面听证权利告知听证
0,销售检测放射防护器材含放射性产品销售符合标准卫生放射防护器材含放射性产品放射防护器材含放射性产品标签说明书内容符合规定
0,天然湿地内从事割芦苇割草放牧活动
1,劳务分包施工西北旺镇大牛坊村室住宅楼公共租赁住房海淀北部地区整体开发永丰产业基地新地块二类居住用地配建公共租赁住房项目施工现场问题工程劳务分包安徽东安建筑劳务施工现场作业人员人配备名专职安全生产管理人员少于名符合建筑施工企业安全生产管理机构设置专职安全生产管理人员配备办法第十四条第二款设置安全生产管理机构配备安全生产管理人员
1,施工号线三期标瀛海站钢结构工程瀛海站层南侧地面处临时用电开关箱至用电设备之间电缆随地敷设采取保护措施违反建设工程施工现场安全防护场容卫生消防保卫标准第条施工单位严格建筑业安全作业标准施工事故隐患
1,承德新城建设工程北汽越野车棚改定向安置房项目一期地块工程违反规定两名零散民工韩付龙李广星
0,期限内提供相关产品标准提供虚假企业标准抽检商品相关虚假信息
0,农民专业合作社登记事项变更申请变更登记成员变更使农民成员低于法定比例满六个月从事业务范围以外经营活动变造出租出借转让营业执照
0,认证机构符合国家有机产品生产产地环境区域有机产品认证目录外产品认证委托人出具认证证书
0,从事人体器官移植医务人员参与尸体器官捐献人死亡判定
0,指定擅自生产商密码产品商用密码产品指定生产超过批准范围生产商密码产品未经许可擅自销售商密码产品批准擅自进口密码产品含有密码技术设备出口商密码产品销售境外密码产品
1,住房城乡建设昌平区回龙观镇回龙观村医疗综合楼昌平区回龙观西城区旧城保护定向安置房配套医院工程消防工程专项执法检查经本机关立案调查查明违法事实北住院楼层喷淋系统管网安装完毕喷头全部安装喷头闭式喷头消防专业分包喷淋系统管网冲洗违反自动喷水灭火系统施工验收规范第条喷头密封性能试验违反自动喷水灭火系统施工验收规范第条第款施工技术标准施工澳际智能消防安全工程无进一步陈述申辩意见违法事实予以承认工程北住院楼喷淋价款为元
0,上道路行驶机动车悬挂机动车号牌放置检验合格标志保险标志随车携带行驶证驾驶证故意遮挡污损按规定安装机动车号牌
0,拒绝执行传染病防治法及本办法屡经教育仍继续违法
1,住房城乡建设东坝乡七棵树村座绿色产业用房工程专项执法检查工程承包施工单位林州建总建筑工程未审核特种作业人员特种作业操作资格证书立案调查现场检查和林州建总建筑工程代理人赵洪明询问调取资料查明座绿色产业用房工程东坝乡七棵树村建设世纪文创置业监理百事百达工程管理承包施工单位林州建总建筑工程现场检查时座绿色产业用房工程正在主体结构施工登记为京塔式起重机用于工程主体结构施工现场检查登记为京塔式起重机司机贾令旗无特种作业操作资格证书见登记为京塔式起重机司机贾令旗特种作业操作资格证书审核文件施工起重机械运行记录显示贾令旗塔式起重机司机从事特种作业操作调查执行经理赵洪明确认未审核特种作业人员贾令旗特种作业操作资格证书认定林州建总建筑工程未审核特种作业人员特种作业操作资格证书违法事实清楚证据确实充分违法事实予以认可
1,住房城乡建设中标总包建设新城街区住宅楼龙之湾嘉园号楼改建工程项目工程施工过程涉嫌严格专项施工方案组织施工调查取证现场检查施工现场安全问题住宅楼层南侧型钢悬挑式钢管脚手架立杆步距符合脚手架施工方案资料计算书第一条第项步距住宅楼层南侧型钢悬挑式钢管脚手架悬挑钢梁预埋环距尾端留置符合脚手架施工方案资料第五条第项第目距尾端留置住宅楼层南侧型钢悬挑式钢管脚手架墙件水平间距符合脚手架施工方案资料第五条第项第目中连墙拉结杆横向间距
1,施工永定镇住宅商业楼永定镇地块综合性商业金融服务业住宅混合公建配建限价商品住房门头沟线区域组团地块西南侧用地项目限价商品房商业楼限价商品房商业楼工程劳务分包南通众艺建筑安装工程进场施工人员人施工现场仅设置名专职安全生产管理人员符合建筑施工企业安全生产管理机构设置专职安全生产管理人员配备办法第十四条第二项施工单位南通众艺建筑安装工程配备专职安全生产管理人员
1,森宇房地产开发房地产开发企业资质证书有效期资质证书过期失效后无资质期间违法从事房地产开发经营业务韩建爱丽舍花园项目住宅楼旅游度假酒店工程密云县爱丽舍花园项目签订建设工程施工合同合同
0,自然保护区禁猎区破坏国家地方重点保护野生动物主要生息繁衍场所
1,住房城乡建设执法人员平谷区马坊镇马坊镇中心区南区定向安置房一期项目住宅楼住宅楼配套住宅楼配套住宅楼配套区地下车库承包施工单位建筑一局代理人张亮询问调查调取资料查明工程开工共个住宅楼建筑面积平方米检查当天工程住宅楼都主体结构施工阶段现场检查时该工程住宅楼首层正在二次结构连锁砌块砌筑施工工人砂浆筒仓内接出预拌干混砂浆现场加水搅拌而成砌筑砂浆
0,非法生产军服军服专用买卖军服军服专用生产销售军服仿制品
1,住房城乡建设西城区广莲路建工大厦座室永定河北岸榆垡镇礼贤镇新机场旅客航站楼综合换乘中心工程地下室防水工程标段资料核查董鹏升新机场旅客航站楼综合换乘中心工程地下室防水工程标段工程担任京建防水施工项目经理代表合同内约定事宜防水工程分包合同价款为元该防水工程中型工程项目董鹏升具备注册建造师执业资格建造师注册证书执业印章董鹏升注册证书执业印章担任中型建设工程项目施工单位项目负责人本案无从轻从重情节
1,生产任务单混凝土水计量第三盘偏差第五盘偏差水计量整车偏差计量偏差±违反预拌混凝土质量管理规程第条该车混凝土方量立方米预拌混凝土买卖合同混凝土合同单价立方米元该批次混凝土合同价款为元直接负责主管人员张文浩直接责任人员张海江郭宇峰伦朋飞没有直接负责人员施工技术标准施工
1,劳务分包施工万寿路西号综合教学楼育英中学改扩建工程施工现场安全问题工程劳务分包扬州富盛建筑劳务施工现场作业人员人未配备专职安全生产管理人员符合建筑施工企业安全生产管理机构设置专职安全生产管理人员配备办法第十四条第一款配备安全生产管理人员
1,花乡四合庄二号路旭阳科技大厦项目地下车库工程施工过程基坑深度米桩锚支护部位基坑侧壁安全等级一级现场正在主体结构施工基坑回填基坑支护分包地矿工程建设基坑锚杆拉力监测符合建筑基坑工程监测技术规范第条施工单位严格建筑业安全作业标准施工事故隐患
1,八号线三期标中违反规定两名零散民工
0,旅游经营者组织接待出入境旅游旅游者从事违法活动非法滞留擅自分团脱团情形及时公安机关旅游主管部门我国驻外机构报告
1,工程基坑开挖深度住房城乡建设部办公厅实施危险性较大分部分工程安全管理问题通知建办质附件第一条第一款开挖深度超过含基坑支护工程危险性较大分部分工程工程基坑支护工程危险性较大分部分工程截至现场检查时该工程基坑开挖基本支护结构期内工程基坑支护分包施工单位宏福建工按规定工程基坑地下水位坑边地面沉降锚杆拉力支护结构深部水平位移监测符合建筑基坑支护技术规程第条中表宏福建工施工单位施工监测违反危险性较大分部分工程安全管理第十七条第三款杨金辉工程基坑支护分包施工单位宏福建工直接负责主管人员无直接责任人员
0,毛绒纤维经营者国家标准技术规范收购毛绒纤维
1,上午住房城乡建设亮马桥路燕莎中心凯宾斯基饭店改造项目消防工程执法检查益通安装涉嫌超越资质等级承揽工程住房城乡建设立案开展调查取证益通安装代理人梁冬青询问调取资料查明益通安装分公司中联行消防工程签订燕莎中心凯宾斯基饭店改造项目消防工程劳务分包合同合同价款为元整工程承包范围消火栓及水喷淋系统包括管路敷设包括阀门甲方指定沟槽件玛钢件亿佰通支架设备安装调试包括管道冲洗打压试验益通安装分公司益通安装直属分公司签订工程劳务分包合益通安装资质类别等级建筑工程施工承包叁级电力工程施工承包叁级冶金工程施工承包叁级环保工程专业承包叁级具备施工劳务分等级资质据此益通安装涉嫌超越资质等级承揽工程益通安装项目上直接负责主管人员梁冬青无责任人燕莎中心凯宾斯基饭店改造项目消防工程质量安全事故益通安装工程中未违法所得本案无从轻从重情节
1,施工旭锋建设工程建设西城区太平桥大街中海凯旋写字楼室内装修改造工程点分点分住房城乡建设执法人员专项执法检查施工现场安全隐患工程施工现场中海凯旋写字楼层电梯井口设置低于米固定式防护门符合建筑工程施工现场安全防护场容卫生消防保卫标准第条电梯井口应设置低于米固定式防护门工程施工现场中海凯旋写字楼层一台临时用电分配电箱出线电缆线连接配电箱金属箱门金属箱体连接软编织铜线上配电箱端子排连接符合施工现场临时用电安全技术规范强制性第条配电箱进出线中线必须线端子板连接工程施工现场中海凯旋写字楼层一台临时用电开关箱内设置两个插座用于施工现场两台设备配电符合施工现场临时用电安全技术规范强制性第条每台用电设备必须专用开关箱严禁开关箱直接控制台及台以上用电设备含插座
0,放射工作人员证
